               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014877,            0.011074,                   0,             0.98494,             0.98699,              0.9927,             0.84154,           0.0090497,           0.0024344,                   0,            0.070041,           0.0033288,           0.0033288
                   1,            0.016226,            0.011456,                   0,             0.97619,             0.97692,             0.98979,             0.75925,            0.012027,           0.0030488,                   0,            0.039909,           0.0065302,           0.0065302
                   2,            0.017142,            0.011783,                   0,             0.97661,             0.97657,             0.99055,             0.79625,             0.01113,           0.0032915,                   0,            0.009645,           0.0095996,           0.0095996
                   3,            0.017729,             0.01238,                   0,             0.97155,              0.9763,             0.98941,             0.76047,             0.01178,            0.002968,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.017342,            0.012312,                   0,             0.96734,             0.97776,             0.98566,             0.76209,            0.012008,           0.0028899,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.017303,            0.012279,                   0,             0.98538,             0.99044,             0.99246,             0.80874,           0.0098933,           0.0025807,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.017121,            0.012327,                   0,             0.97942,             0.98262,             0.99097,             0.80539,            0.010596,            0.002694,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.017084,            0.012194,                   0,             0.95094,             0.96465,             0.98303,              0.7305,             0.01263,              0.0031,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.016705,            0.012025,                   0,             0.97008,             0.97736,             0.99121,             0.78392,            0.011344,           0.0028499,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.016583,            0.012061,                   0,             0.97069,             0.97319,             0.98583,             0.77199,            0.011192,           0.0030813,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.016613,            0.012042,                   0,             0.98054,             0.98054,             0.98969,             0.80603,            0.010663,            0.002966,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.016432,            0.011876,                   0,             0.95232,             0.96624,             0.98311,             0.74156,             0.01131,           0.0033326,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.016425,            0.011972,                   0,             0.97334,             0.97299,              0.9891,             0.77255,            0.011233,           0.0034998,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.016251,            0.011777,                   0,             0.98665,             0.98491,             0.99261,             0.82445,            0.010063,            0.002761,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.016031,            0.011876,                   0,             0.97816,             0.98531,             0.99256,             0.80842,            0.010755,           0.0031645,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.016097,            0.011805,                   0,             0.97274,             0.97781,              0.9884,              0.7651,            0.012405,           0.0030429,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.015861,            0.011761,                   0,             0.98339,              0.9865,             0.99124,             0.81359,            0.010066,           0.0028851,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.015696,             0.01172,                   0,             0.98008,             0.98133,              0.9903,             0.82285,             0.00949,           0.0029528,                   0,            0.006832,            0.006832,            0.006832
                  18,              0.0157,            0.011607,                   0,             0.97903,             0.98531,             0.99266,             0.81501,            0.010078,           0.0027901,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.015644,            0.011667,                   0,             0.97922,             0.98054,             0.98957,             0.82274,            0.010651,           0.0027487,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.015396,            0.011566,                   0,             0.98023,             0.98442,              0.9913,             0.81107,            0.010144,            0.002638,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.015476,             0.01151,                   0,             0.98181,             0.98606,              0.9897,             0.81145,            0.010127,           0.0028829,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.015295,            0.011581,                   0,             0.98467,             0.99047,             0.99226,             0.82522,           0.0096375,           0.0027981,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.015237,            0.011494,                   0,              0.9834,               0.988,             0.99208,             0.83583,            0.009353,            0.002698,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.015373,            0.011493,                   0,             0.96901,             0.98092,             0.98826,             0.79762,            0.010589,           0.0030364,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.015129,            0.011406,                   0,             0.98572,             0.99087,             0.99325,             0.83855,           0.0089398,           0.0026606,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.015017,            0.011385,                   0,             0.98793,             0.98928,             0.99355,             0.83692,            0.008795,           0.0025533,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.014932,             0.01139,                   0,             0.97858,              0.9861,             0.99131,             0.82672,           0.0092937,            0.002628,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.014785,            0.011348,                   0,             0.98716,             0.99007,             0.99362,             0.84758,           0.0085686,           0.0023734,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.014636,            0.011177,                   0,             0.98512,             0.99087,             0.99257,             0.84932,            0.008654,           0.0024631,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.014626,            0.011232,                   0,             0.98811,             0.98984,             0.99339,             0.85541,           0.0085991,           0.0024636,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.014635,            0.011243,                   0,             0.99007,             0.98989,             0.99337,             0.84974,           0.0084398,           0.0024286,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.014351,            0.011114,                   0,             0.98656,             0.99084,             0.99364,             0.84612,           0.0085944,           0.0024036,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.014236,              0.0111,                   0,             0.98579,             0.98928,             0.99264,             0.84414,           0.0084908,           0.0025214,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.014368,            0.011015,                   0,             0.98807,             0.99087,             0.99341,             0.84317,            0.008571,             0.00239,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.014173,            0.011086,                   0,              0.9877,             0.98901,             0.99324,             0.85279,           0.0085649,             0.00233,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.014153,            0.011023,                   0,             0.98695,             0.99125,             0.99276,             0.84697,           0.0084817,           0.0024602,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.014077,            0.010916,                   0,             0.98145,             0.99087,             0.99224,             0.85163,           0.0082738,           0.0026468,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.014095,            0.010897,                   0,             0.98733,             0.99067,              0.9933,             0.85625,           0.0082859,           0.0024739,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.013755,            0.010816,                   0,             0.98664,             0.98928,              0.9931,             0.85874,           0.0083825,           0.0024868,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.013831,            0.010789,                   0,              0.9885,             0.99016,             0.99315,             0.85759,            0.008293,           0.0024221,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.013667,            0.010743,                   0,             0.98813,             0.99201,             0.99324,             0.86216,           0.0082008,           0.0024451,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.013557,            0.010806,                   0,             0.99052,             0.99126,             0.99397,             0.86157,            0.008167,           0.0024005,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.013485,            0.010661,                   0,             0.99165,             0.99105,             0.99386,             0.86256,           0.0081991,           0.0025636,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.013268,              0.0107,                   0,             0.98643,             0.99166,             0.99331,             0.85918,           0.0082683,           0.0025749,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.013341,            0.010647,                   0,             0.98928,             0.98997,             0.99356,             0.86021,           0.0081936,           0.0024235,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.013288,            0.010509,                   0,             0.98768,             0.99166,             0.99366,             0.85887,           0.0081579,           0.0023963,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.013347,            0.010601,                   0,              0.9889,             0.99074,             0.99374,             0.86142,            0.008114,            0.002477,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.013121,            0.010578,                   0,             0.98929,             0.99032,             0.99382,             0.86512,           0.0079825,            0.002504,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.012951,            0.010483,                   0,             0.98852,             0.99141,             0.99374,             0.86437,           0.0080352,           0.0024847,                   0,            0.000496,            0.000496,            0.000496
